clave_sih,fecha,nombre_oficial,nombre_comun,estado,municipio,almacenamiento_hm3,elevacion_msnm,uso,namo_almacenamiento_hm3,namo_elevacion_msnm,porcentaje_llenado,bordo_libre_m,name_almacenamiento_hm3,name_elevacion_msnm
LDCJL,01-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1505.8,92.91,AP,8126.41,98.0,0.185297,0.0,9279.71,99.0
LDCJL,02-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1505.8,92.91,AP,8126.41,98.0,0.185297,0.0,9279.71,99.0
LDCJL,03-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1498.0,92.9,AP,8126.41,98.0,0.184337,0.0,9279.71,99.0
LDCJL,04-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1498.0,92.9,AP,8126.41,98.0,0.184337,0.0,9279.71,99.0
LDCJL,05-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1498.0,92.9,AP,8126.41,98.0,0.184337,0.0,9279.71,99.0
LDCJL,06-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1490.51,92.89,AP,8126.41,98.0,0.183416,0.0,9279.71,99.0
LDCJL,07-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1490.51,92.89,AP,8126.41,98.0,0.183416,0.0,9279.71,99.0
LDCJL,08-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1490.51,92.89,AP,8126.41,98.0,0.183416,0.0,9279.71,99.0
LDCJL,09-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1490.51,92.89,AP,8126.41,98.0,0.183416,0.0,9279.71,99.0
LDCJL,10-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1483.01,92.88,AP,8126.41,98.0,0.182493,0.0,9279.71,99.0
LDCJL,11-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1483.01,92.88,AP,8126.41,98.0,0.182493,0.0,9279.71,99.0
LDCJL,12-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1483.01,92.88,AP,8126.41,98.0,0.182493,0.0,9279.71,99.0
LDCJL,13-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1483.01,92.88,AP,8126.41,98.0,0.182493,0.0,9279.71,99.0
LDCJL,14-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1475.52,92.87,AP,8126.41,98.0,0.181571,0.0,9279.71,99.0
LDCJL,15-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1475.52,92.87,AP,8126.41,98.0,0.181571,0.0,9279.71,99.0
LDCJL,16-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1475.52,92.87,AP,8126.41,98.0,0.181571,0.0,9279.71,99.0
LDCJL,17-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1475.52,92.87,AP,8126.41,98.0,0.181571,0.0,9279.71,99.0
LDCJL,18-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1468.02,92.86,AP,8126.41,98.0,0.180648,0.0,9279.71,99.0
LDCJL,19-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1468.02,92.86,AP,8126.41,98.0,0.180648,0.0,9279.71,99.0
LDCJL,20-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1468.02,92.86,AP,8126.41,98.0,0.180648,0.0,9279.71,99.0
LDCJL,21-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1460.53,92.85,AP,8126.41,98.0,0.179726,0.0,9279.71,99.0
LDCJL,22-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1460.53,92.85,AP,8126.41,98.0,0.179726,0.0,9279.71,99.0
LDCJL,23-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1460.53,92.85,AP,8126.41,98.0,0.179726,0.0,9279.71,99.0
LDCJL,24-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1453.03,92.84,AP,8126.41,98.0,0.178803,0.0,9279.71,99.0
LDCJL,25-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1453.03,92.84,AP,8126.41,98.0,0.178803,0.0,9279.71,99.0
LDCJL,26-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1453.03,92.84,AP,8126.41,98.0,0.178803,0.0,9279.71,99.0
LDCJL,27-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1445.54,92.83,AP,8126.41,98.0,0.177882,0.0,9279.71,99.0
LDCJL,28-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1445.54,92.83,AP,8126.41,98.0,0.177882,0.0,9279.71,99.0
LDCJL,29-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1445.54,92.83,AP,8126.41,98.0,0.177882,0.0,9279.71,99.0
LDCJL,30-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1438.04,92.82,AP,8126.41,98.0,0.176959,0.0,9279.71,99.0
LDCJL,31-01-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1438.04,92.82,AP,8126.41,98.0,0.176959,0.0,9279.71,99.0
LDCJL,01-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1438.04,92.82,AP,8126.41,98.0,0.176959,0.0,9279.71,99.0
LDCJL,02-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1430.55,92.81,AP,8126.41,98.0,0.176037,0.0,9279.71,99.0
LDCJL,03-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1430.55,92.81,AP,8126.41,98.0,0.176037,0.0,9279.71,99.0
LDCJL,04-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1430.55,92.81,AP,8126.41,98.0,0.176037,0.0,9279.71,99.0
LDCJL,05-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1423.05,92.8,AP,8126.41,98.0,0.175114,0.0,9279.71,99.0
LDCJL,06-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1423.05,92.8,AP,8126.41,98.0,0.175114,0.0,9279.71,99.0
LDCJL,07-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1423.05,92.8,AP,8126.41,98.0,0.175114,0.0,9279.71,99.0
LDCJL,08-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1415.56,92.79,AP,8126.41,98.0,0.174193,0.0,9279.71,99.0
LDCJL,09-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1415.56,92.79,AP,8126.41,98.0,0.174193,0.0,9279.71,99.0
LDCJL,10-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1415.56,92.79,AP,8126.41,98.0,0.174193,0.0,9279.71,99.0
LDCJL,11-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1408.06,92.78,AP,8126.41,98.0,0.17327,0.0,9279.71,99.0
LDCJL,12-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1408.06,92.78,AP,8126.41,98.0,0.17327,0.0,9279.71,99.0
LDCJL,13-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1408.06,92.78,AP,8126.41,98.0,0.17327,0.0,9279.71,99.0
LDCJL,14-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1400.57,92.77,AP,8126.41,98.0,0.172348,0.0,9279.71,99.0
LDCJL,15-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1400.57,92.77,AP,8126.41,98.0,0.172348,0.0,9279.71,99.0
LDCJL,16-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1400.57,92.77,AP,8126.41,98.0,0.172348,0.0,9279.71,99.0
LDCJL,17-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1400.57,92.77,AP,8126.41,98.0,0.172348,0.0,9279.71,99.0
LDCJL,18-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1393.08,92.76,AP,8126.41,98.0,0.171426,0.0,9279.71,99.0
LDCJL,19-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1393.08,92.76,AP,8126.41,98.0,0.171426,0.0,9279.71,99.0
LDCJL,20-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1393.08,92.76,AP,8126.41,98.0,0.171426,0.0,9279.71,99.0
LDCJL,21-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1385.58,92.75,AP,8126.41,98.0,0.170503,0.0,9279.71,99.0
LDCJL,22-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1385.58,92.75,AP,8126.41,98.0,0.170503,0.0,9279.71,99.0
LDCJL,23-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1378.09,92.74,AP,8126.41,98.0,0.169582,0.0,9279.71,99.0
LDCJL,24-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1378.09,92.74,AP,8126.41,98.0,0.169582,0.0,9279.71,99.0
LDCJL,25-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1370.59,92.73,AP,8126.41,98.0,0.168659,0.0,9279.71,99.0
LDCJL,26-02-1991,Lago de Chapala,Chapala,Jalisco,Chapala,1363.1,92.72,AP,8126.41,98.0,0.167737,0.0,9279.71,99.0
